17.99,18.99
20.57,21.57
19.69,20.69
11.42,12.42
20.29,21.29
12.45,13.45
18.25,19.25
13.71,14.71
13,14
12.46,13.46
16.02,17.02
15.78,16.78
19.17,20.17
15.85,16.85
13.73,14.73
14.54,15.54
14.68,15.68
16.13,17.13
19.81,20.81
13.54,14.54
13.08,14.08
9.504,10.504
15.34,16.34
21.16,22.16
16.65,17.65
17.14,18.14
14.58,15.58
18.61,19.61
15.3,16.3
17.57,18.57
18.63,19.63
11.84,12.84
17.02,18.02
19.27,20.27
16.13,17.13
16.74,17.74
14.25,15.25
13.03,14.03
14.99,15.99
13.48,14.48
13.44,14.44
10.95,11.95
19.07,20.07
13.28,14.28
13.17,14.17
18.65,19.65
8.196,9.196
13.17,14.17
12.05,13.05
13.49,14.49
11.76,12.76
13.64,14.64
11.94,12.94
18.22,19.22
15.1,16.1
11.52,12.52
19.21,20.21
14.71,15.71
13.05,14.05
8.618,9.618
10.17,11.17
8.598,9.598
14.25,15.25
9.173,10.173
12.68,13.68
14.78,15.78
9.465,10.465
11.31,12.31
9.029,10.029
12.78,13.78
18.94,19.94
8.888,9.888
17.2,18.2
13.8,14.8
12.31,13.31
16.07,17.07
13.53,14.53
18.05,19.05
20.18,21.18
12.86,13.86
11.45,12.45
13.34,14.34
25.22,26.22
19.1,20.1
12,13
18.46,19.46
14.48,15.48
19.02,20.02
12.36,13.36
14.64,15.64
14.62,15.62
15.37,16.37
13.27,14.27
13.45,14.45
15.06,16.06
20.26,21.26
12.18,13.18
9.787,10.787
11.6,12.6
14.42,15.42
13.61,14.61
6.981,7.981
12.18,13.18
9.876,10.876
10.49,11.49
13.11,14.11
11.64,12.64
12.36,13.36
22.27,23.27
11.34,12.34
9.777,10.777
12.63,13.63
14.26,15.26
10.51,11.51
8.726,9.726
11.93,12.93
8.95,9.95
14.87,15.87
15.78,16.78
17.95,18.95
11.41,12.41
18.66,19.66
24.25,25.25
14.5,15.5
13.37,14.37
13.85,14.85
13.61,14.61
19,20
15.1,16.1
19.79,20.79
12.19,13.19
15.46,16.46
16.16,17.16
15.71,16.71
18.45,19.45
12.77,13.77
11.71,12.71
11.43,12.43
14.95,15.95
11.28,12.28
9.738,10.738
16.11,17.11
11.43,12.43
12.9,13.9
10.75,11.75
11.9,12.9
11.8,12.8
14.95,15.95
14.44,15.44
13.74,14.74
13,14
8.219,9.219
9.731,10.731
11.15,12.15
13.15,14.15
12.25,13.25
17.68,18.68
16.84,17.84
12.06,13.06
10.9,11.9
11.75,12.75
19.19,20.19
19.59,20.59
12.34,13.34
23.27,24.27
14.97,15.97
10.8,11.8
16.78,17.78
17.47,18.47
14.97,15.97
12.32,13.32
13.43,14.43
15.46,16.46
11.08,12.08
10.66,11.66
8.671,9.671
9.904,10.904
16.46,17.46
13.01,14.01
12.81,13.81
27.22,28.22
21.09,22.09
15.7,16.7
11.41,12.41
15.28,16.28
10.08,11.08
18.31,19.31
11.71,12.71
11.81,12.81
12.3,13.3
14.22,15.22
12.77,13.77
9.72,10.72
12.34,13.34
14.86,15.86
12.91,13.91
13.77,14.77
18.08,19.08
19.18,20.18
14.45,15.45
12.23,13.23
17.54,18.54
23.29,24.29
13.81,14.81
12.47,13.47
15.12,16.12
9.876,10.876
17.01,18.01
13.11,14.11
15.27,16.27
20.58,21.58
11.84,12.84
