25.38,17.33
24.99,23.41
23.57,25.53
14.91,26.5
22.54,16.67
15.47,23.75
22.88,27.66
17.06,28.14
15.49,30.73
15.09,40.68
19.19,33.88
20.42,27.28
20.96,29.94
16.84,27.66
15.03,32.01
17.46,37.13
19.07,30.88
20.96,31.48
27.32,30.88
15.11,19.26
14.5,20.49
10.23,15.66
18.07,19.08
29.17,35.59
26.46,31.56
22.25,21.4
17.62,33.21
21.31,27.26
20.27,36.71
20.01,19.52
23.15,34.01
16.82,28.12
20.88,32.09
24.15,30.9
20.21,27.26
20.01,29.02
15.89,30.36
13.3,22.81
14.99,25.2
15.53,26.02
15.93,30.25
12.84,35.34
24.09,33.17
17.38,28
16.23,29.89
22.82,21.32
8.964,21.96
15.67,27.95
13.76,20.7
15.15,31.82
12.98,25.72
14.67,23.19
13.1,21.33
20.6,24.13
18.1,31.69
12.84,22.47
26.14,28.14
17.87,30.7
14.23,22.25
9.507,15.4
11.02,17.45
9.565,27.04
17.67,29.51
10.01,19.23
17.09,33.47
17.31,33.39
10.41,31.56
12.33,23.84
10.31,22.65
13.46,19.76
24.86,26.58
9.733,15.67
23.32,33.82
16.57,20.86
14.11,23.21
19.77,24.56
14.08,12.49
22.39,18.91
23.37,31.72
14.24,24.82
13.11,32.16
15.53,23.19
30,33.62
20.33,32.72
13.67,24.9
22.93,27.68
16.21,29.25
24.56,30.41
13.83,30.5
16.34,18.24
16.11,29.11
16.43,25.84
16.36,22.35
15.1,25.94
18.23,24.23
24.22,31.59
12.83,20.92
10.92,26.29
13.06,17.16
16.33,30.86
16.99,35.27
7.93,19.54
13.34,32.84
10.76,26.83
11.54,23.31
16.31,22.4
13.14,29.26
13.29,27.49
28.4,28.01
13.01,29.15
11.05,21.47
13.33,25.47
15.3,23.73
11.16,22.75
9.628,19.62
13.67,26.15
9.414,17.07
18.81,27.37
20.19,30.5
20.58,27.83
12.82,15.97
22.25,24.9
26.02,23.99
15.7,15.98
14.26,22.75
15.49,23.58
16.89,35.64
22.32,25.73
16.11,18.33
22.63,33.58
13.34,17.81
19.26,26
19.47,31.68
17.5,19.25
22.52,31.39
14.49,33.37
13.33,25.48
12.32,22.02
18.55,21.43
11.92,15.77
10.62,14.1
19.92,25.27
12.78,26.76
14.48,21.82
11.95,20.72
13.15,16.51
13.74,26.38
16.25,25.47
15.85,19.85
15.34,22.46
14.16,24.11
9.092,29.72
11.02,19.49
11.99,16.3
14.77,20.5
13.59,25.22
20.47,25.11
18.22,28.07
13.14,18.41
12.36,18.2
13.32,26.21
22.03,17.81
26.73,26.39
13.58,28.68
28.01,28.22
15.98,25.82
11.6,12.02
20.05,26.3
23.14,32.33
16.11,23
13.5,15.64
17.98,29.87
18.79,17.04
11.35,16.82
11.54,19.2
9.262,17.04
11.26,24.39
17.79,28.45
14,29.02
13.63,16.15
33.12,32.85
26.68,33.48
20.11,32.82
12.37,17.7
17.8,28.03
11.87,21.18
